estimated_owners,rating,game_name,developer,publisher
100000000,85.89,Counter-Strike 2,Valve,Valve
50000000,87.11,Grand Theft Auto V Legacy,Rockstar North,Rockstar Games
100000000,60.13,PUBG: BATTLEGROUNDS,PUBG Corporation,KRAFTON Inc.
20000000,82.06,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft
20000000,96.74,Terraria,Re-Logic,Re-Logic
20000000,86.48,Rust,Facepunch Studios,Facepunch Studios
20000000,96.17,Garry's Mod,Facepunch Studios,Valve
50000000,95.86,Black Myth: Wukong,Game Science,Game Science
20000000,97.71,Stardew Valley,ConcernedApe,ConcernedApe
20000000,92.37,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment"
20000000,95.41,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED
10000000,91.60,Red Dead Redemption 2,Rockstar Games,Rockstar Games
50000000,96.79,Left 4 Dead 2,Valve,Valve
10000000,96.56,Euro Truck Simulator 2,SCS Software,SCS Software
20000000,96.04,Baldur's Gate 3,Larian Studios,Larian Studios
10000000,94.87,Phasmophobia,Kinetic Games,Kinetic Games
20000000,91.22,Among Us,Innersloth,Innersloth
20000000,82.76,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
20000000,94.74,The Forest,Endnight Games Ltd,Endnight Games Ltd
5000000,92.28,Geometry Dash,RobTop Games,RobTop Games
5000000,96.03,Hollow Knight,Team Cherry,Team Cherry
10000000,93.26,Valheim,Iron Gate AB,Coffee Stain Publishing
20000000,88.61,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment
10000000,86.40,Rocket League®,Psyonix LLC,Psyonix LLC
10000000,96.13,Lethal Company,Zeekerss,Zeekerss
5000000,97.74,Portal 2,Valve,Valve
10000000,77.05,DayZ,Bohemia Interactive,Bohemia Interactive
5000000,88.37,Hollow Knight: Silksong,Team Cherry,Team Cherry
10000000,94.20,Don't Starve Together,Klei Entertainment,Klei Entertainment
5000000,96.44,BeamNG.drive,BeamNG,BeamNG
50000000,93.34,Palworld,Pocketpair,Pocketpair
5000000,96.24,The Binding of Isaac: Rebirth,"Nicalis Inc., Edmund McMillen",Nicalis Inc.
2000000,96.23,Bloons TD 6,Ninja Kiwi,Ninja Kiwi
10000000,93.19,Project Zomboid,The Indie Stone,The Indie Stone
10000000,92.16,Raft,Redbeet Interactive,Axolot Games
5000000,96.03,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment
5000000,84.04,No Man's Sky,Hello Games,Hello Games
10000000,95.21,R.E.P.O.,semiwork,semiwork
5000000,96.20,Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing
5000000,97.40,People Playground,mestiez,Studio Minus
5000000,95.49,Undertale,tobyfox,tobyfox
10000000,80.52,Fallout 4,Bethesda Game Studios,Bethesda Softworks
5000000,96.99,Hades,Supergiant Games,Supergiant Games
5000000,89.92,Forza Horizon 4,Playground Games,Xbox Game Studios
5000000,85.10,ARC Raiders,Embark Studios,Embark Studios
5000000,93.45,DARK SOULS™ III,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment"
5000000,88.08,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive
10000000,86.37,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC
10000000,87.44,Sons Of The Forest,Endnight Games Ltd,Newnight
10000000,65.41,Battlefield™ 6,Battlefield Studios,Electronic Arts
10000000,93.81,PEAK,Team PEAK,"Aggro Crab, Evil Landfall?"
5000000,76.92,Ready or Not,VOID Interactive,VOID Interactive
5000000,88.21,Forza Horizon 5,Playground Games,Xbox Game Studios
5000000,97.23,Vampire Survivors,poncle,poncle
5000000,92.82,Risk of Rain 2,Hopoo Games,Gearbox Publishing
5000000,91.10,Halo: The Master Chief Collection,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios
10000000,70.18,Battlefield™ V,DICE,Electronic Arts
10000000,89.47,Arma 3,Bohemia Interactive,Bohemia Interactive
10000000,96.15,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing
10000000,86.87,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment
10000000,91.92,Cities: Skylines,Colossal Order,Paradox Interactive
10000000,87.64,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr"
5000000,94.35,It Takes Two,Hazelight Studios,Electronic Arts
5000000,91.42,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks
10000000,73.40,Hunt: Showdown 1896,Crytek,Crytek
2000000,95.14,Detroit: Become Human,Quantic Dream,Quantic Dream
5000000,96.74,RimWorld,Ludeon Studios,Ludeon Studios
10000000,68.81,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games
10000000,96.52,Half-Life 2,Valve,Valve
5000000,96.27,ULTRAKILL,Arsi Hakita Patala,New Blood Interactive
20000000,48.20,Monster Hunter Wilds,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
2000000,54.67,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games"
5000000,96.02,Factorio,Wube Software LTD.,Wube Software LTD.
5000000,95.07,Cuphead,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.
5000000,96.42,Slay the Spire,Mega Crit,Mega Crit
5000000,94.55,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios
2000000,80.38,Squad,Offworld,Offworld
10000000,93.53,Human Fall Flat,No Brakes Games,Curve Games
2000000,94.42,Clair Obscur: Expedition 33,Sandfall Interactive,Kepler Interactive
5000000,82.21,Grand Theft Auto IV: The Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games
2000000,80.23,Far Cry® 5,"Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",Ubisoft
5000000,94.98,Tomb Raider Game of the Year,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive"
10000000,97.28,Portal,Valve,Valve
10000000,96.30,Counter-Strike,Valve,Valve
2000000,95.63,American Truck Simulator,SCS Software,SCS Software
2000000,96.42,Dispatch,AdHoc Studio,AdHoc Studio
5000000,96.12,Resident Evil 4,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
20000000,72.40,Path of Exile 2,Grinding Gear Games,Grinding Gear Games
5000000,82.65,"Warhammer 40,000: Space Marine 2",Saber Interactive,Focus Entertainment
5000000,95.81,Dead Cells,Motion Twin,Motion Twin
2000000,96.67,Balatro,LocalThunk,Playstack
5000000,95.96,Stray,BlueTwelve Studio,Annapurna Interactive
2000000,87.44,STAR WARS Jedi: Fallen Order™,Respawn Entertainment,Electronic Arts
10000000,55.68,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company
5000000,95.85,Resident Evil 2,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
2000000,84.21,Stellaris,Paradox Development Studio,Paradox Interactive
2000000,96.48,Totally Accurate Battle Simulator,Landfall,Landfall
2000000,90.58,Darkest Dungeon®,Red Hook Studios,Red Hook Studios
2000000,96.67,Slime Rancher,Monomi Park,Monomi Park
5000000,96.45,Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment
20000000,76.84,Destiny 2,Bungie,Bungie
2000000,95.24,Ori and the Will of the Wisps,Moon Studios GmbH,Xbox Game Studios
10000000,95.10,Counter-Strike: Source,Valve,Valve
2000000,93.74,Black Mesa,Crowbar Collective,Crowbar Collective
5000000,91.66,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni
2000000,95.45,Oxygen Not Included,Klei Entertainment,Klei Entertainment
2000000,92.94,Kingdom Come: Deliverance II,Warhorse Studios,Deep Silver
2000000,95.55,Inscryption,Daniel Mullins Games,Devolver Digital
5000000,81.06,BattleBit Remastered,"SgtOkiDoki, Vilaskis, TheLiquidHorse",SgtOkiDoki
2000000,96.09,Celeste,"Maddy Makes Games Inc., Extremely OK Games Ltd.",Maddy Makes Games Inc.
5000000,56.80,EA SPORTS™ FIFA 23,"EA Canada, EA Romania",Electronic Arts
2000000,81.11,ELDEN RING NIGHTREIGN,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment"
2000000,92.93,Rise of the Tomb Raider™,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes","Crystal Dynamics, Feral Interactive"
2000000,83.15,Need for Speed™ Heat,Ghost Games,Electronic Arts
5000000,95.00,Life is Strange - Episode 1,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive"
2000000,90.98,Starbound,Chucklefish,Chucklefish
1000000,96.50,MiSide,AIHASTO,"IndieArk, Shochiku (Japan)"
2000000,90.76,ASTRONEER,System Era Softworks,System Era Softworks
2000000,89.13,Muse Dash,peropero,hasuhasu
10000000,95.24,Half-Life,Valve,Valve
2000000,91.45,Disco Elysium - The Final Cut,ZA/UM,ZA/UM
2000000,89.48,Escape the Backrooms,"Fancy Games, Blackbird Interactive",Secret Mode
5000000,95.61,POSTAL 2,Running With Scissors,Running With Scissors
2000000,25.21,Mirror 2: Project X,KAGAMI Ⅱ WORKs,NIJICO
2000000,91.49,Frostpunk,11 bit studios,11 bit studios
2000000,94.00,Kerbal Space Program,Squad,Private Division
2000000,88.25,The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.
2000000,94.32,Hades II,Supergiant Games,Supergiant Games
5000000,87.84,V Rising,Stunlock Studios,Stunlock Studios
2000000,88.34,Batman™: Arkham Knight,Rocksteady Studios,WB Games
5000000,94.87,Castle Crashers®,The Behemoth,The Behemoth
20000000,75.76,Last Epoch,Eleventh Hour Games,Eleventh Hour Games
2000000,94.49,Cult of the Lamb,Massive Monster,Devolver Digital
2000000,95.18,Brotato,Blobfish,Blobfish
2000000,90.73,Scrap Mechanic,Axolot Games,Axolot Games
1000000,93.58,My Summer Car,Amistech Games,Amistech Games
5000000,80.10,Slay the Spire 2,Mega Crit,Mega Crit
2000000,95.63,Hotline Miami,Dennaton Games,Devolver Digital
2000000,70.40,"Warhammer 40,000: Darktide",Fatshark,Fatshark
5000000,83.29,Just Cause™ 3,Avalanche Studios,Square Enix
2000000,83.89,Insurgency: Sandstorm,New World Interactive,Focus Entertainment
2000000,94.01,Buckshot Roulette,Mike Klubnika,CRITICAL REFLEX
2000000,87.44,Space Engineers,Keen Software House,Keen Software House
2000000,79.63,FIFA 22,EA Canada & EA Romania,Electronic Arts
2000000,95.13,Outlast,Red Barrels,Red Barrels
500000,79.34,The Isle,Afterthought LLC,Afterthought LLC
2000000,92.23,Stick Fight: The Game,Landfall West,Landfall
2000000,94.31,Resident Evil Village,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
2000000,69.58,Total War: WARHAMMER III,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive"
2000000,80.93,Hell Let Loose,Expression Games,Team17
5000000,52.69,EA SPORTS FC™ 25,"EA Canada, EA Romania",Electronic Arts
5000000,73.63,SCUM,Gamepires,Gamepires
2000000,95.17,Don't Starve,Klei Entertainment,Klei Entertainment
2000000,91.25,DARK SOULS™: REMASTERED,"QLOC, FromSoftware Inc.","FromSoftware Inc., Bandai Namco Entertainment"
2000000,93.37,Megabonk,vedinad,vedinad
5000000,85.86,Europa Universalis IV,"Paradox Development Studio, Paradox Tinto",Paradox Interactive
2000000,88.99,Subnautica: Below Zero,Unknown Worlds Entertainment,Unknown Worlds Entertainment
5000000,57.69,EA SPORTS FC™ 24,"EA Canada, EA Romania",Electronic Arts
2000000,94.93,Resident Evil Requiem,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
2000000,94.20,Kenshi,Lo-Fi Games,Lo-Fi Games
2000000,88.68,Crusader Kings III,Paradox Development Studio,Paradox Interactive
2000000,59.80,ARK: Survival Ascended,"Studio Wildcard, Grove Street Games, Instinct Games","Studio Wildcard, Snail Games USA"
2000000,94.65,Marvel’s Spider-Man Remastered,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC
2000000,79.10,MORDHAU,Triternion,Triternion
2000000,89.27,Firewatch,Campo Santo,"Panic, Campo Santo"
2000000,92.69,House Flipper,Empyrean,"Frozen District, PlayWay S.A."
2000000,96.77,Half-Life: Alyx,Valve,Valve
1000000,96.92,DELTARUNE,tobyfox,tobyfox
2000000,84.04,Warhammer: Vermintide 2,Fatshark,Fatshark
2000000,78.76,Tom Clancy's Ghost Recon® Wildlands,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade",Ubisoft
10000000,92.40,Grim Dawn,Crate Entertainment,Crate Entertainment
2000000,91.49,This War of Mine,11 bit studios,11 bit studios
5000000,90.87,Metro 2033 Redux,4A Games,Deep Silver
2000000,91.86,Gunfire Reborn,Duoyi Games,Duoyi Games
5000000,91.04,Total War: WARHAMMER II,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive"
2000000,85.09,Enshrouded,Keen Games GmbH,Keen Games GmbH
2000000,86.76,Killing Floor 2,Tripwire Interactive,Tripwire Interactive
2000000,82.61,Crimson Desert,Pearl Abyss,Pearl Abyss
2000000,90.46,Insurgency,New World Interactive,New World Interactive
2000000,87.69,Middle-earth™: Shadow of War™,Monolith Productions,WB Games
2000000,76.68,The Crew™ 2,Ivory Tower,Ubisoft
1000000,85.62,Mafia: Definitive Edition,Hangar 13,2K
2000000,86.86,Mortal Kombat 11,"NetherRealm Studios, QLOC, Shiver","Warner Bros. Games, Warner Bros. Interactive Entertainment"
2000000,94.98,Cookie Clicker,"Orteil, DashNet",Playsaurus
1000000,94.20,Outer Wilds,Mobius Digital,Annapurna Interactive
2000000,95.99,Dyson Sphere Program,Youthcat Studio,Gamirror Games
2000000,91.45,The Outlast Trials,Red Barrels,Red Barrels
2000000,94.63,GRIS,Nomada Studio,Devolver Digital
2000000,93.66,CarX Drift Racing Online,"CarX Technologies, LLC","CarX Technologies, LLC"
5000000,83.36,Escape From Duckov,Team Soda,bilibili
2000000,93.96,Resident Evil 7 Biohazard,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
2000000,82.99,DARK SOULS™ II: Scholar of the First Sin,FromSoftware Inc.,"Bandai Namco Entertainment, FromSoftware Inc."
2000000,81.91,Resident Evil 3,CAPCOM Co. Ltd.,CAPCOM Co. Ltd.
2000000,91.46,Days Gone,Bend Studio,PlayStation Publishing LLC
2000000,93.75,Noita,Nolla Games,Nolla Games
5000000,83.46,XCOM® 2,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive"
2000000,89.81,Planet Zoo,Frontier Developments,Frontier Developments
2000000,93.79,Enter the Gungeon,Dodge Roll,Devolver Digital
1000000,95.57,OMORI,"OMOCAT, LLC","OMOCAT, LLC"
2000000,90.86,Supermarket Simulator,Nokta Games,Nokta Games
2000000,71.44,Fallout 76,Bethesda Game Studios,Bethesda Softworks
5000000,78.08,Conan Exiles,Funcom,Funcom
2000000,92.63,A Dance of Fire and Ice,7th Beat Games,"7th Beat Games, indienova"
1000000,95.19,Ravenfield,SteelRaven7,SteelRaven7
2000000,92.57,Resident Evil 4 (2005),Capcom,Capcom
2000000,81.25,Getting Over It with Bennett Foddy,Bennett Foddy,Bennett Foddy
2000000,94.38,Mirror,KAGAMI WORKS,Paradise Project
2000000,83.44,Manor Lords,Slavic Magic,Hooded Horse
2000000,89.76,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment
2000000,95.71,"Papers, Please",Lucas Pope,3909
2000000,90.62,METAL GEAR SOLID V: THE PHANTOM PAIN,KONAMI,KONAMI
5000000,87.14,Assassin’s Creed® IV Black Flag™,Ubisoft Montreal,Ubisoft
2000000,90.66,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games
2000000,82.76,Shadow of the Tomb Raider: Definitive Edition,"Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)","Crystal Dynamics, Feral Interactive"
2000000,93.99,Beat Saber,Beat Games,Beat Games
5000000,78.17,Company of Heroes 2,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Relic Entertainment, Feral Interactive"
2000000,94.53,METAL GEAR RISING: REVENGEANCE,PlatinumGames,KONAMI
2000000,89.30,DEVOUR,Straight Back Games,Straight Back Games
2000000,91.26,Farming Simulator 22,Giants Software,Giants Software
2000000,82.42,TEKKEN 7,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment
5000000,92.91,Content Warning,"Zorro, Wilnyl, Philip, thePetHen, Skog",Evil Landfall?
2000000,92.70,Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital
2000000,96.32,Katana ZERO,Askiisoft,Devolver Digital
2000000,90.25,ARMORED CORE™ VI FIRES OF RUBICON™,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment Inc."
1000000,96.66,Pizza Tower,Tour De Pizza,Tour De Pizza
2000000,79.11,Friday the 13th: The Game,IllFonic,Gun Media
2000000,92.95,Farming Simulator 19,Giants Software,Giants Software
1000000,85.21,Five Nights at Freddy's: Security Breach,Steel Wool Studios,ScottGames
1000000,69.63,Dune: Awakening,Funcom,Funcom
5000000,89.29,RV There Yet?,Nuggets Entertainment,Nuggets Entertainment
1000000,94.41,The Planet Crafter,Miju Games,Miju Games
5000000,72.93,Black Desert,Pearl Abyss,Pearl Abyss
2000000,93.62,FTL: Faster Than Light,Subset Games,Subset Games
1000000,55.70,Wolcen: Lords of Mayhem,WOLCEN Studio,WOLCEN Studio
1000000,93.88,Yakuza 0,Ryu Ga Gotoku Studio,SEGA
2000000,79.16,No Rest for the Wicked,Moon Studios GmbH,Moon Studios GmbH
2000000,53.68,Cities: Skylines II,"Iceflake Studios, Colossal Order",Paradox Interactive
2000000,92.43,Ghost of Tsushima DIRECTOR'S CUT,"Sucker Punch Productions, Nixxes Software",PlayStation Publishing LLC
2000000,95.92,South Park™: The Stick of Truth™,Obsidian Entertainment,Ubisoft
5000000,87.65,Prison Architect,"Introversion Software, Double Eleven",Paradox Interactive
2000000,89.80,Planet Coaster,"Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr"
2000000,89.14,Overcooked! 2,"Ghost Town Games Ltd., Team17",Team17
2000000,92.54,Barotrauma,"FakeFish, Undertow Games",Daedalic Entertainment
1000000,91.84,A Plague Tale: Innocence,Asobo Studio,Focus Entertainment
1000000,94.85,Blade and Sorcery,WarpFrog,WarpFrog
2000000,82.84,Total War: ROME II - Emperor Edition,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive"
1000000,95.81,WEBFISHING,lamedeveloper,lamedeveloper
5000000,94.74,Left 4 Dead,Valve,Valve
500000,89.24,Dead Space,Motive,Electronic Arts
1000000,96.56,OneShot,Future Cat LLC,KOMODO
2000000,92.64,Stellar Blade™,SHIFT UP Corporation,PlayStation Publishing LLC (excluding China)
2000000,95.58,BattleBlock Theater®,The Behemoth,The Behemoth
2000000,78.72,Party Animals,Recreate Games,Source Technology
1000000,90.50,Lies of P,NEOWIZ,NEOWIZ
1000000,68.18,Back 4 Blood,Turtle Rock Studios,Warner Bros. Games
2000000,89.47,Goat Simulator,Coffee Stain Studios,Coffee Stain Publishing
2000000,84.10,Northgard: Definitive Edition,Shiro Games,Shiro Games
2000000,89.08,DRAGON BALL FighterZ,Arc System Works,Bandai Namco Entertainment
1000000,92.70,Plague Inc: Evolved,Ndemic Creations,Ndemic Creations
2000000,94.59,Batman: Arkham City - Game of the Year Edition,Rocksteady Studios,WB Games
2000000,89.76,Sniper Elite 4,Rebellion,Rebellion
1000000,96.86,The Henry Stickmin Collection,PuffballsUnited,Innersloth
2000000,45.83,EA SPORTS FC™ 26,"EA Canada, EA Romania",Electronic Arts
1000000,90.10,DARK SOULS™: Prepare To Die™ Edition,FromSoftware Inc.,Bandai Namco Entertainment
1000000,88.91,Stormworks: Build and Rescue,Geometa,Geometa
1000000,89.53,Outlast 2,Red Barrels,Red Barrels
2000000,85.57,HITMAN World of Assassination,IO Interactive A/S,IO Interactive A/S
2000000,95.74,The Walking Dead,Telltale Games,Skybound Games
2000000,92.13,Five Nights at Freddy's,Scott Cawthon,Scott Cawthon
2000000,84.12,Gang Beasts,"Boneloaf, Rocket Science",Boneloaf
2000000,88.63,Chained Together,Anegar Games,Anegar Games
5000000,93.41,Little Nightmares,Tarsier Studios,BANDAI NAMCO Entertainment
1000000,93.20,Brick Rigs,Fluppisoft GmbH,Fluppisoft GmbH
1000000,91.76,DEATH STRANDING,KOJIMA PRODUCTIONS,505 Games
1000000,88.39,Blasphemous,The Game Kitchen,Team17
1000000,64.04,Diablo® IV,Blizzard Entertainment Inc.,Blizzard Entertainment Inc.
1000000,91.67,Skul: The Hero Slayer,SOUTHPAW GAMES,NEOWIZ
2000000,95.23,Broforce,Free Lives,Devolver Digital
1000000,92.49,Lobotomy Corporation | Monster Management Simulation,ProjectMoon,ProjectMoon
1000000,89.87,Gorilla Tag,Another Axiom Inc.,Another Axiom Inc.
1000000,92.92,The Hungry Lamb: Traveling in the Late Ming Dynasty,零创游戏(ZerocreationGame),"零创游戏(ZerocreationGame), 2P Games"
1000000,93.13,The Binding of Isaac,"Edmund McMillen, Florian Himsl",Edmund McMillen
2000000,86.59,DRAGON BALL: Sparking! ZERO,Spike Chunsoft Co. Ltd.,Bandai Namco Entertainment
1000000,87.47,The Long Drive,Genesz,Genesz
2000000,85.99,Jurassic World Evolution,Frontier Developments,Frontier Developments
1000000,91.53,Little Nightmares II,Tarsier Studios,BANDAI NAMCO Entertainment
2000000,89.81,Car Mechanic Simulator 2018,Red Dot Games,PlayWay S.A.
1000000,91.40,Core Keeper,Pugstorm,"Fireshine Games, bilibili"
1000000,93.55,WorldBox - God Simulator,Maxim Karpenko,Maxim Karpenko
2000000,91.56,Hitman: Absolution™,Io-Interactive A/S,Io-Interactive A/S
2000000,88.43,Liar's Bar,Curve Animation,Curve Animation
2000000,44.68,PAYDAY 3,Starbreeze Studios,Starbreeze Entertainment
2000000,92.88,Tabletop Simulator,Berserk Games,Berserk Games
1000000,93.53,Besiege,Spiderling Studios,Spiderling Studios
1000000,88.32,Age of History II,Łukasz Jakowski,Łukasz Jakowski Games
50000000,90.26,Team Fortress 2,Valve,Valve
50000000,90.26,Team Fortress 2,Valve,Valve
5000000,49.83,NBA 2K20,Visual Concepts,2K
1000000,85.00,CONTROL Ultimate Edition,Remedy Entertainment,Remedy Entertainment
2000000,83.07,Remnant: From the Ashes,Gunfire Games,"Arc Games, THQ Nordic"
2000000,89.83,Ghostrunner,"One More Level, 3D Realms, Slipgate Ironworks™, All in! Games",505 Games
1000000,86.87,GUILTY GEAR -STRIVE-,Arc System Works,Arc System Works
1000000,77.95,Watch_Dogs™,Ubisoft,Ubisoft
1000000,93.30,Spiritfarer®: Farewell Edition,Thunder Lotus,Thunder Lotus
1000000,90.92,DEATH STRANDING DIRECTOR'S CUT,KOJIMA PRODUCTIONS,505 Games
2000000,83.82,They Are Billions,Numantian Games,Numantian Games
2000000,82.18,CODE VEIN,Bandai Namco Studios,Bandai Namco Entertainment
1000000,80.02,Foxhole,Siege Camp,Siege Camp
2000000,87.19,Pummel Party,Rebuilt Games,Rebuilt Games
2000000,82.89,GTFO,10 Chambers,10 Chambers
1000000,53.16,TEKKEN 8,Bandai Namco Studios Inc.,Bandai Namco Entertainment
1000000,81.38,REMNANT II®,Gunfire Games,"Arc Games, THQ Nordic"
1000000,85.18,Deep Rock Galactic: Survivor,Funday Games,Ghost Ship Publishing
2000000,94.13,SOMA,Frictional Games,Frictional Games
2000000,94.81,TCG Card Shop Simulator,OPNeon Games,OPNeon Games
500000,93.85,What Remains of Edith Finch,Giant Sparrow,Annapurna Interactive
5000000,81.39,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios
2000000,86.41,ACE COMBAT™ 7: SKIES UNKNOWN,Bandai Namco Studios Inc.,Bandai Namco Entertainment
500000,47.21,Escape from Tarkov,Battlestate Games,Battlestate Games
1000000,95.94,Volcano Princess,养蛋人 Egg Hatcher,养蛋人 Egg Hatcher
2000000,78.43,Chivalry 2,Torn Banner Studios,Tripwire Presents
200000,78.01,Arma Reforger,Bohemia Interactive,Bohemia Interactive
1000000,91.62,DRAGON BALL Z: KAKAROT,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment Inc.
1000000,55.09,WUCHANG: Fallen Feathers,Leenzee,505 Games
1000000,73.42,Stranded Deep,Beam Team Games,Beam Team Publishing
2000000,88.60,Alan Wake,Remedy Entertainment,Remedy Entertainment
500000,96.01,A Hat in Time,Gears for Breakfast,Gears for Breakfast
2000000,82.53,NARUTO TO BORUTO: SHINOBI STRIKER,Soleil Ltd.,Bandai Namco Entertainment
2000000,85.52,Rising Storm 2: Vietnam,"Antimatter Games, Tripwire Interactive",Tripwire Interactive
1000000,88.57,DRAGON BALL XENOVERSE 2,"QLOC, Dimps Corporation",Bandai Namco Entertainment
1000000,91.88,PC Building Simulator,"Claudiu Kiss, The Irregular Corporation",The Irregular Corporation
1000000,92.07,ENDER LILIES: Quietus of the Knights,"Live Wire, Adglobe",Binary Haze Interactive
1000000,88.98,Medieval Dynasty,Render Cube,Toplitz Productions
2000000,90.43,Mewgenics,"Edmund McMillen, Tyler Glaiel","Edmund McMillen, Tyler Glaiel"
1000000,92.39,Rain World,Videocult,Akupara Games
1000000,92.76,Slime Rancher 2,Monomi Park,Monomi Park
500000,95.80,Firework,Shiying Studio,Gamirror Games
1000000,68.85,Victoria 3,Paradox Development Studio,Paradox Interactive
500000,95.42,SANABI,WONDER POTION,NEOWIZ
2000000,90.78,The Stanley Parable,Galactic Cafe,"Galactic Cafe, Klei Publishing"
1000000,93.42,Game Dev Tycoon,Greenheart Games 💚,Greenheart Games 💚
1000000,61.33,NBA 2K23,Visual Concepts,2K
1000000,94.01,Ultimate Chicken Horse,Clever Endeavour Games,Clever Endeavour Games
500000,74.63,Bodycam,Reissad Studio,Reissad Studio
1000000,75.30,EA SPORTS™ FIFA 21,EA Canada,Electronic Arts
2000000,93.32,Killing Floor,Tripwire Interactive,Tripwire Interactive
500000,93.22,SILENT HILL 2,Bloober Team SA,KONAMI
500000,72.78,Tom Clancy's Ghost Recon® Breakpoint,Ubisoft Paris,Ubisoft
1000000,88.68,Jurassic World Evolution 2,Frontier Developments,Frontier Developments
500000,68.86,Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft
1000000,79.36,Inside the Backrooms,MrFatcat,"MrFatcat, Dropsiick"
500000,94.08,Abiotic Factor,Deep Field Games,Playstack
2000000,84.71,Mortal Kombat X,"NetherRealm Studios, QLOC","Warner Bros. Games, Warner Bros. Interactive Entertainment"
5000000,86.57,Poppy Playtime,Mob Entertainment,Mob Entertainment
2000000,88.50,Granblue Fantasy: Relink,Cygames Inc.,Cygames Inc.
1000000,87.32,Pavlov,Vankrupt Games,Vankrupt Games
1000000,78.09,"Ranch Simulator: Build, Hunt, Farm",Toxic Dog,Excalibur Games
2000000,88.79,Banished,Shining Rock Software LLC,Shining Rock Software LLC
1000000,92.68,Persona 3 Reload,ATLUS,SEGA
1000000,92.62,Library Of Ruina,ProjectMoon,ProjectMoon
1000000,47.30,ATLAS,"Grapeshot Games, Instinct Games","Grapeshot Games, Snail Games USA"
2000000,85.54,Ryse: Son of Rome,Crytek,Crytek
1000000,91.11,Potion Craft: Alchemist Simulator,niceplay games,tinyBuild
