estimated_owners,rating,game_name,developer,publisher
500000,62.60,Until We Die,Pixeye Games,Pixeye Games
50000,86.81,Guilty as Sock!,Demon Max,Demon Max
200000,74.08,Hidden Deep,Cogwheel Software,Daedalic Entertainment
100000,89.30,Starcom: Unknown Space,"Wx3 Labs, LLC","Wx3 Labs, LLC"
200000,54.24,Savage Lands,Last Bastion Studios LLC,Last Bastion Studios LLC
200000,83.98,Mind Over Magic,Sparkypants,Klei Publishing
200000,60.42,Emergency Call 112 – The Fire Fighting Simulation 2,Crenetic,Aerosoft GmbH
50000,94.20,Scarlet Hollow,Black Tabby Games,Black Tabby Games
100000,89.40,Fate/EXTELLA LINK,Marvelous Inc.,"XSEED Games, Marvelous USA Inc., Marvelous Europe"
200000,88.05,Another Adventure,ThankCreate Studio,"ThankCreate Studio, WhisperGames"
200000,79.75,Fisher Online,R-Age LLC,R-Age LLC
500000,88.69,RollerCoaster Tycoon® 3: Platinum,"Frontier, Aspyr (Mac)","Frontier, Aspyr"
200000,91.80,Zup! 8,Quiet River,Quiet River
100000,85.17,Call of the Sea,Out of the Blue Games,Raw Fury
500000,90.91,Thomas Was Alone,Bithell Games,Bithell Games
200000,79.11,ATOM RPG Trudograd,AtomTeam,AtomTeam
1000000,66.76,Conqueror's Blade,Booming Tech,"Poros Interactive, Booming Tech"
50000,90.99,Spilled!,Lente,Lente
200000,83.52,Iconoclasts,Joakim Sandberg,"Bifrost Entertainment, DANGEN Entertainment, Gamirror Games, INTRAGAMES CO. Ltd."
200000,87.51,Factory Town,Erik Asmussen,Erik Asmussen
200000,89.68,Horizon Chase Turbo,AQUIRIS,AQUIRIS
200000,77.99,Phantom Brigade,Brace Yourself Games,Brace Yourself Games
200000,86.24,Vagante,Nuke Nine,Nuke Nine
200000,88.39,Ghost of a Tale,SeithCG,SeithCG
100000,92.12,Nightmare of Decay,Checkmaty,Checkmaty
20000,82.41,Abyssus,DoubleMoose Games,The Arcade Crew
200000,93.30,Hexcells Infinite,Matthew Brown,Matthew Brown
200000,87.65,Fate/EXTELLA,Marvelous Inc.,"XSEED Games, Marvelous USA Inc., Marvelous Europe"
200000,73.02,Hard West,CreativeForge Games,Good Shepherd Entertainment
200000,79.51,Sundered®: Eldritch Edition,Thunder Lotus,Thunder Lotus
100000,79.40,Into the Radius 2,CM IMMERSIVE,CM IMMERSIVE
50000,90.05,Hentai Girl Linda,GirlGames,GirlGames
100000,89.02,If My Heart Had Wings,MoeNovel,MoeNovel
200000,88.49,MO:Astray,Archpray Inc.,Rayark International Limited
20000,93.78,The Drifter,"Powerhoof, Dave Lloyd",Powerhoof
200000,92.79,Creeper World 3: Arc Eternal,Knuckle Cracker,Knuckle Cracker
100000,85.90,Copycat,Spoonful Of Wonder,"Neverland Entertainment, CriticalLeap, Spoonful Of Wonder"
1000000,67.61,Thunder Tier One,KRAFTON Inc.,KRAFTON Inc.
200000,70.33,Steelrising,Spiders,Nacon
50000,82.29,CHUCHEL,Amanita Design,Amanita Design
100000,85.47,That's not my Neighbor,Nachosama Games,Nachosama Games
50000,91.79,泡沫冬景,Koraku,Nekoneko Soft
500000,72.10,Yi Xian: The Cultivation Card Game,Darksun Studio,Gamirror Games
200000,75.13,Nine Parchments,Frozenbyte,Frozenbyte
200000,85.72,Miss Neko,Double W,Toffee Cafe
500000,80.50,Car Mechanic Simulator 2014,Red Dot Games,PlayWay S.A.
200000,93.22,Zup! Z,Quiet River,Quiet River
200000,88.42,Thumper,Drool,Drool
200000,74.04,Per Aspera,Tlön Industries,Raw Fury
500000,86.80,ibb & obb,"Sparpweed, Codeglue",Sparpweed
200000,80.88,Contractors,Caveman Studio,Caveman Studio
200000,81.90,Plug & Play,"Mario von Rickenbach, Michael Frei",Etter Studio
100000,90.77,News Tower,Sparrow Night,Twin Sails Interactive
200000,85.08,Battle Realms: Zen Edition,Ed Del Castillo,Ed Del Castillo
200000,91.95,DISTRAINT 2,Jesse Makkonen,Jesse Makkonen
500000,80.15,Wargroove,Chucklefish,Chucklefish
100000,78.27,Strike Force Heroes,Sky9 Games,IndieArk
200000,81.61,Clownfield 2042,RIVERSIDE SPORTS,RIVERSIDE SPORTS
200000,91.77,FATE,WildTangent,"WildTangent, gamigo group"
100000,85.32,Old Market Simulator,Alcedo Games,"Alcedo Games, Gamersky Games"
50000,95.00,A Building Full of Cats,Devcats,Devcats
200000,80.18,LEGO® Builder's Journey,Light Brick Studio,LEGO® Games
500000,91.48,Epistory - Typing Chronicles,Fishing Cactus,"Fishing Cactus, PID Games, Dear Villagers"
200000,91.95,LiEat,△○□× (Miwashiba),PLAYISM
200000,77.81,Flotsam,Pajama Llama Games,Stray Fawn Publishing
500000,84.62,Men of War: Assault Squad,Digitalmindsoft,Fulqrum Publishing
200000,90.24,Seraph's Last Stand,Sad Socket,Sad Socket
100000,74.13,Space Engineers 2,Keen Software House,Keen Software House
500000,83.69,Murder Miners,JForce Games,JForce Games
100000,88.23,Cricket 19,Big Ant Studios,Big Ant Studios
100000,95.34,A Castle Full of Cats,Devcats,Devcats
200000,78.09,One Hour One Life,Jason Rohrer,Jason Rohrer
500000,69.08,Town of Salem 2,BlankMediaGames LLC,Digital Bandidos
100000,91.69,The Thrill of the Fight - VR Boxing,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd
100000,93.77,eden*,minori,"MangaGamer, Sunflower Ocean"
100000,92.84,The Jackbox Party Pack 7,Jackbox Games Inc.,Jackbox Games Inc.
100000,78.56,The Drone Racing League Simulator,The Drone Racing League,The Drone Racing League
200000,87.79,20XX,"Batterystaple Games, Fire Hose Games",Batterystaple Games
100000,91.15,Kill It With Fire,Casey Donnellan Games LLC,tinyBuild
200000,86.66,Syberia: The World Before,Microids Studio Paris,Microids
100000,76.21,Train Sim World® 3,Dovetail Games,Dovetail Games - TSW
